,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind speed
0,Airai,100,TL,1579986269,93,-8.93,125.41,20.15,0.54
1,Provideniya,0,RU,1579986269,73,64.38,-173.3,-21.91,2.23
2,Port Alfred,0,ZA,1579986269,97,-33.59,26.89,18.89,0.89
3,Mar del Plata,0,AR,1579986223,63,-38.0,-57.56,21.58,6.61
4,Guerrero Negro,0,MX,1579986269,43,27.98,-114.06,21.81,1.95
5,Busselton,1,AU,1579986270,61,-33.65,115.33,18.33,4.29
6,Manali,85,IN,1579986270,78,13.17,80.27,25.0,2.39
7,Sur,7,OM,1579986270,80,22.57,59.53,20.25,1.16
8,Yellowknife,100,CA,1579985993,84,62.46,-114.35,-12.22,1.79
9,Hong Kong,100,HK,1579986003,95,22.29,114.16,16.67,3.87
10,Lebu,0,CL,1579986270,44,-37.62,-73.65,22.55,5.84
11,Jamestown,100,US,1579986270,95,42.1,-79.24,3.33,0.89
12,Ponta do Sol,32,PT,1579986271,80,32.67,-17.1,13.89,2.68
13,Bredasdorp,0,ZA,1579986271,72,-34.53,20.04,19.0,4.1
14,Srandakan,54,ID,1579986271,88,-7.94,110.25,23.99,1.68
15,Ostrovnoy,43,RU,1579986271,99,68.05,39.51,-16.17,2.47
16,Saint-Philippe,90,RE,1579986271,88,-21.36,55.77,25.0,1.5
17,Merke,100,KZ,1579986272,97,42.87,73.18,-4.15,1.62
18,East London,0,ZA,1579986025,85,-33.02,27.91,25.17,0.23
19,Dalby,11,AU,1579986208,81,-27.18,151.27,21.53,3.38
20,Avarua,98,CK,1579986272,85,-21.21,-159.78,26.83,6.62
21,Lutkun,78,RU,1579986273,49,41.48,47.69,-9.46,3.68
22,Nikolskoye,0,RU,1579986273,79,59.7,30.79,-1.11,3.5
23,Finote Selam,53,ET,1579986273,51,10.7,37.27,13.36,1.26
24,Ushuaia,100,AR,1579986274,57,-54.8,-68.3,8.59,6.68
25,Cape Town,37,ZA,1579986274,91,-33.93,18.42,20.0,1.34
26,Butaritari,3,KI,1579986274,72,3.07,172.79,29.36,4.25
27,Rozkishne,69,UA,1579986274,91,48.5,37.59,0.11,5.67
28,La Ronge,100,CA,1579986275,95,55.1,-105.28,-3.13,2.17
